Date,IssuesReported,IssuesResolved,ResolutionRate,UrgencyRate,AvgResponseTime,DayOfWeek,Month,Season,IsWeekend,IsHoliday
2025-05-02,49,31,63.26530612244898,14.285714285714285,0.22448979591836735,Friday,5,Spring,False,False
2025-05-03,64,39,60.9375,14.0625,0.21875,Saturday,5,Spring,True,False
2025-05-04,40,26,65.0,12.5,0.375,Sunday,5,Spring,True,False
2025-05-05,49,36,73.46938775510205,16.3265306122449,0.30612244897959184,Monday,5,Spring,False,False
2025-05-06,55,35,63.63636363636363,12.727272727272727,0.2727272727272727,Tuesday,5,Spring,False,False
2025-05-07,49,28,57.14285714285714,12.244897959183673,0.2653061224489796,Wednesday,5,Spring,False,False
2025-05-08,59,39,66.10169491525424,5.084745762711865,0.2711864406779661,Thursday,5,Spring,False,False
2025-05-09,57,30,52.63157894736842,14.035087719298245,0.14035087719298245,Friday,5,Spring,False,False
2025-05-10,65,42,64.61538461538461,7.6923076923076925,0.2923076923076923,Saturday,5,Spring,True,False
2025-05-11,79,45,56.9620253164557,10.126582278481013,0.3670886075949367,Sunday,5,Spring,True,False
2025-05-12,84,61,72.61904761904762,9.523809523809524,0.27380952380952384,Monday,5,Spring,False,False
2025-05-13,33,15,45.45454545454545,9.090909090909092,0.2727272727272727,Tuesday,5,Spring,False,False
2025-05-14,56,31,55.35714285714286,21.428571428571427,0.19642857142857142,Wednesday,5,Spring,False,False
2025-05-15,53,31,58.490566037735846,15.09433962264151,0.20754716981132076,Thursday,5,Spring,False,False
2025-05-16,60,36,60.0,10.0,0.6166666666666667,Friday,5,Spring,False,False
2025-05-17,65,47,72.3076923076923,12.307692307692308,0.35384615384615387,Saturday,5,Spring,True,False
2025-05-18,98,53,54.08163265306123,11.224489795918368,0.40816326530612246,Sunday,5,Spring,True,False
2025-05-19,65,49,75.38461538461539,10.76923076923077,0.35384615384615387,Monday,5,Spring,False,False
2025-05-20,82,51,62.19512195121951,14.634146341463413,0.2682926829268293,Tuesday,5,Spring,False,False
2025-05-21,63,44,69.84126984126983,14.285714285714285,0.30158730158730157,Wednesday,5,Spring,False,False
2025-05-22,60,38,63.33333333333333,8.333333333333332,0.2833333333333333,Thursday,5,Spring,False,False
2025-05-23,39,23,58.97435897435898,15.384615384615385,0.38461538461538464,Friday,5,Spring,False,False
2025-05-24,65,40,61.53846153846154,15.384615384615385,0.15384615384615385,Saturday,5,Spring,True,False
2025-05-25,56,41,73.21428571428571,8.928571428571429,0.32142857142857145,Sunday,5,Spring,True,False
2025-05-26,69,42,60.86956521739131,7.246376811594203,0.36231884057971014,Monday,5,Spring,False,False
2025-05-27,60,38,63.33333333333333,15.0,0.26666666666666666,Tuesday,5,Spring,False,False
2025-05-28,55,38,69.0909090909091,10.909090909090908,0.21818181818181817,Wednesday,5,Spring,False,False
2025-05-29,59,40,67.79661016949152,13.559322033898304,0.1694915254237288,Thursday,5,Spring,False,False
2025-05-30,44,27,61.36363636363637,25.0,0.2727272727272727,Friday,5,Spring,False,False
2025-05-31,60,38,63.33333333333333,10.0,0.4,Saturday,5,Spring,True,False
2025-06-01,54,36,66.66666666666666,12.962962962962962,0.2962962962962963,Sunday,6,Summer,True,False
2025-06-02,66,50,75.75757575757575,7.575757575757576,0.2878787878787879,Monday,6,Summer,False,False
2025-06-03,77,48,62.33766233766234,9.090909090909092,0.36363636363636365,Tuesday,6,Summer,False,False
2025-06-04,61,39,63.934426229508205,18.0327868852459,0.32786885245901637,Wednesday,6,Summer,False,False
2025-06-05,60,37,61.66666666666667,8.333333333333332,0.2833333333333333,Thursday,6,Summer,False,False
2025-06-06,35,23,65.71428571428571,17.142857142857142,0.2857142857142857,Friday,6,Summer,False,False
2025-06-07,24,14,58.333333333333336,12.5,0.4166666666666667,Saturday,6,Summer,True,False
2025-06-08,59,38,64.40677966101694,8.47457627118644,0.2711864406779661,Sunday,6,Summer,True,False
2025-06-09,35,21,60.0,20.0,0.2571428571428571,Monday,6,Summer,False,False
2025-06-10,46,29,63.04347826086957,6.521739130434782,0.32608695652173914,Tuesday,6,Summer,False,False
2025-06-11,53,34,64.15094339622641,7.547169811320755,0.11320754716981132,Wednesday,6,Summer,False,False
2025-06-12,48,33,68.75,16.666666666666664,0.20833333333333334,Thursday,6,Summer,False,False
2025-06-13,67,49,73.13432835820896,17.91044776119403,0.23880597014925373,Friday,6,Summer,False,False
2025-06-14,67,40,59.70149253731343,8.955223880597014,0.31343283582089554,Saturday,6,Summer,True,False
2025-06-15,48,27,56.25,14.583333333333334,0.1875,Sunday,6,Summer,True,False
2025-06-16,71,57,80.28169014084507,16.901408450704224,0.28169014084507044,Monday,6,Summer,False,False
2025-06-17,56,41,73.21428571428571,16.071428571428573,0.08928571428571429,Tuesday,6,Summer,False,False
2025-06-18,53,37,69.81132075471697,18.867924528301888,0.3584905660377358,Wednesday,6,Summer,False,False
2025-06-19,50,29,57.99999999999999,14.000000000000002,0.16,Thursday,6,Summer,False,False
2025-06-20,56,40,71.42857142857143,10.714285714285714,0.14285714285714285,Friday,6,Summer,False,False
2025-06-21,44,29,65.9090909090909,15.909090909090908,0.3409090909090909,Saturday,6,Summer,True,False
