InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany,ServiceAreaCoverage,WorkloadCategory,PerformanceRanking,EfficiencyScore,TerritorySizeCategory
Fővárosi Katasztrófavédelmi Igazgatóság,47.537,19.063,47.5,47.568999999999996,18.9358,19.214199999999998,137.55280000000002,3,"['XVI. kerület', 'III. kerület', 'II. kerület']",3,Other Municipal,0,1,0,1.0,Low,64,26.7,Large
Fővárosi Vízművek,47.493,19.079,47.3611,47.6239,18.9176,19.330399999999997,911.5656,24,"['XIX. kerület', 'Unknown', 'XIV. kerület', 'XI. kerület', 'XII. kerület', 'XV. kerület', 'II. kerület', 'VI. kerület', 'XX. kerület', 'IX. kerület', 'X. kerület', 'XVIII. kerület', 'IV. kerület', 'XVI. kerület', 'XIII. kerület', 'XXI. kerület', 'V. kerület', 'VII. kerület', 'I. kerület', 'III. kerület', 'VIII. kerület', 'XVII. kerület', 'XXIII. kerület', 'XXII. kerület']",311,Utilities,0,1,0,1.0,High,26,40.6,Large
Fővárosi Állat- és Növénykert,47.517,19.075,47.507000000000005,47.527,19.064999999999998,19.085,0.0,1,['XIV. kerület'],1,Parks & Environment,0,1,0,1.0,Low,31,40.0,Small
GOBUDA Mall,47.546,19.029,47.536,47.556,19.019,19.039,0.0,1,['III. kerület'],2,Other Municipal,0,0,0,1.0,Low,88,20.0,Small
HWR-Telecom,47.528,19.133,47.518,47.538,19.122999999999998,19.143,0.0,1,['XIV. kerület'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Hermina Residence,47.522,19.102,47.512,47.532,19.092,19.112000000000002,0.0,1,['XIV. kerület'],1,Other Municipal,0,0,0,1.0,Low,28,40.4,Small
Hesse Trade Kft.,47.457,19.082,47.413000000000004,47.509,19.037,19.141000000000002,77.2464,3,"['V. kerület', 'XIX. kerület', 'Csepel']",3,Other Municipal,0,0,1,1.0,Low,126,13.3,Large
I. kerület Budavár Önkormányzata,47.5,19.035,47.476,47.518,19.000600000000002,19.281399999999998,62.2908,3,"['I. kerület', 'II. kerület', 'XVII. kerület']",213,Local Government,1,0,0,1.0,High,135,10.4,Large
I. kerület Budavári Rendészet,47.498,19.035,47.479,47.518,19.014,19.055000000000003,4.8279,1,['I. kerület'],32,Law Enforcement,1,0,0,1.0,Low,98,18.0,Medium
II. Kerületi Rendőrkapitányság,47.51,19.031,47.498000000000005,47.521,19.017,19.047,0.363,1,['II. kerület'],3,Law Enforcement,1,0,0,1.0,Low,999,,Small
II. kerÃžlet KÃķzterÃžlet-felÃžgyeleti Csoport,47.564,18.956,47.554,47.574,18.945999999999998,18.966,0.0,1,['Unknown'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
II. kerÃžlet ÃnkormÃĄnyzata,47.525,18.999,47.512,47.541,18.968,19.035,5.1183,1,['Unknown'],4,Other Municipal,0,0,0,1.0,Low,999,,Medium
II. kerület Közterület-felügyeleti Csoport,47.526,19.0,47.496,47.577999999999996,18.9267,19.0503,77.27059999999999,2,"['II. kerület', 'I. kerület']",123,Local Government,1,0,0,1.0,Medium,100,17.7,Large
II. kerület Önkormányzata,47.525,19.003,47.4179,47.5871,18.907799999999998,19.1622,361.69319999999993,3,"['II. kerület', 'I. kerület', 'XX. kerület']",634,Local Government,1,0,0,1.0,Very High,120,14.8,Large
II. kerület Önkormányzata,47.529,19.003,47.519000000000005,47.539,18.993,19.013,0.0,1,['Unknown'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
III. Kerületi Rendőrkapitányság,47.563,19.045,47.532000000000004,47.613,19.026999999999997,19.068,15.5001,1,['III. kerület'],3,Law Enforcement,1,0,0,1.0,Low,999,,Large
III. kerület Békásmegyeri Piac Kft.,47.598,19.057,47.588,47.608999999999995,19.046,19.068,0.0242,1,['III. kerület'],12,Local Government,1,0,1,1.0,Low,75,23.6,Small
III. kerület OVZRT Óbudai Vagyonkezelő NZrt.,47.573,19.048,47.52,47.617999999999995,18.993,19.080000000000002,63.23460000000001,1,['III. kerület'],76,Local Government,1,0,1,1.0,Medium,128,12.4,Large
III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,47.574,19.049,47.511,47.62,18.979999999999997,19.082,88.30579999999999,3,"['III. kerület', 'II. kerület', 'XIII. kerület']",1226,Local Government,1,0,0,1.0,Very High,133,10.8,Large
III. kerület Óbuda-Békásmegyer Városfejlesztő NKft.,47.572,19.044,47.524,47.614,19.005,19.075000000000003,42.35000000000001,1,['III. kerület'],29,Local Government,1,0,1,1.0,Low,149,6.1,Large
III. kerület Óbuda-Békásmegyer Önkormányzata,47.555,19.039,47.523,47.613,18.994999999999997,19.074,49.973,1,['III. kerület'],18,Local Government,1,0,0,1.0,Low,72,25.2,Large
III. kerület Óbudai Parkolási Nonprofit Kft.,47.573,19.05,47.522,47.611999999999995,19.019,19.07,26.257,1,['III. kerület'],9,Roads & Traffic,1,0,1,1.0,Low,999,,Large
III. kerĂźlet OVZRT Ăbudai VagyonkezelĹ NZrt.,47.53,19.04,47.52,47.54,19.029999999999998,19.05,0.0,1,['Unknown'],1,Other Municipal,0,0,1,1.0,Low,999,,Small
III. kerĂźlet ĂBKF Ăbuda-BĂŠkĂĄsmegyer KĂśzterĂźlet-felĂźgyelet,47.559,19.053,47.549,47.568999999999996,19.043,19.063000000000002,0.0,1,['Unknown'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
IKEA,47.448,19.153,47.4,47.515,19.128999999999998,19.173000000000002,27.587999999999997,2,"['XIV. kerület', 'XXIII. kerület']",5,Other Municipal,0,0,0,1.0,Low,999,,Large
IV. kerület Újpest Önkormányzata,47.568,19.096,47.535000000000004,47.619,19.061999999999998,19.130000000000003,37.1712,2,"['IV. kerület', 'XIII. kerület']",236,Local Government,1,0,0,1.0,High,103,17.0,Large
IV. kerület Újpesti Önkormányzati Rendészet,47.566,19.095,47.536,47.608,19.069,19.127000000000002,23.909599999999998,2,"['IV. kerület', 'XIII. kerület']",77,Law Enforcement,1,0,0,1.0,Medium,87,20.1,Large
IV. kerГјlet Гљjpest Г–nkormГЎnyzata,47.611,19.108,47.601,47.620999999999995,19.098,19.118000000000002,0.0,1,['Unknown'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
IX. kerÃžlet - FESZOFE Nonprofit Kft.,47.46,19.084,47.435,47.486,19.058999999999997,19.108,10.8779,1,['Unknown'],2,Other Municipal,0,0,1,1.0,Low,999,,Large
IX. kerület - FESZOFE Nonprofit Kft.,47.475,19.081,47.434000000000005,47.498,19.049999999999997,19.129,31.411599999999996,1,['IX. kerület'],102,Local Government,1,0,1,1.0,Medium,70,25.8,Large
IX. kerület - FEV IX Zrt. Ferencvárosi Parkolási Igazgatóság,47.485,19.073,47.475,47.495,19.063,19.083000000000002,0.0,1,['VIII. kerület'],1,Roads & Traffic,1,0,1,1.0,Low,3,79.9,Small
IX. kerület Ferencváros Önkormányzata,47.477,19.078,47.434000000000005,47.498999999999995,19.048,19.130000000000003,33.759,1,['IX. kerület'],242,Local Government,1,0,0,1.0,High,143,8.0,Large
IX. kerület Ferencvárosi Közterület-felügyelet,47.473,19.087,47.447,47.498,19.051,19.130000000000003,22.1309,1,['IX. kerület'],48,Local Government,1,0,0,1.0,Low,61,27.0,Large
IX. kerĂĽlet FerencvĂˇros Ă–nkormĂˇnyzata,47.477,19.082,47.467,47.486999999999995,19.072,19.092000000000002,0.0,1,['Unknown'],1,Other Municipal,0,0,0,1.0,Low,999,,Small
Infopark,47.471,19.058,47.46,47.482,19.046999999999997,19.069000000000003,0.0484,1,['XI. kerület'],2,Parks & Environment,0,0,0,1.0,Low,34,39.5,Small
Invitech,47.5,19.063,47.4025,47.576499999999996,19.0109,19.1321,177.2045,12,"['I. kerület', 'XIV. kerület', 'IX. kerület', 'XIII. kerület', 'XII. kerület', 'II. kerület', 'III. kerület', 'X. kerület', 'VI. kerület', 'XI. kerület', 'XXI. kerület', 'V. kerület']",34,Other Municipal,0,0,0,1.0,Low,74,23.7,Large
