institution,TotalIssuesAssigned,ResolutionRate,ResolvedCount,AvgDaysToResolution,MedianDaysToResolution,AvgDaysToFirstResponse,MedianDaysToFirstResponse,ServiceCenterLat,MinLat,MaxLat,GPSRecordCount,ServiceCenterLng,MinLng,MaxLng,DistrictsServedCount,DistrictsServedList,ImageResponseRate,AnonymousReportingRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,ServiceAreaCoverage,ServiceAreaSpanLat,ServiceAreaSpanLng,InstitutionName
FCSM Fővárosi Csatornázási Művek,677,0.795,538,33.929,21.0,26.847,19.0,47.5,47.388,47.606,677,19.08,18.952,19.279,23,"['V. kerület', 'VI. kerület', 'II. kerület', 'III. kerület', 'XI. kerület', 'XVII. kerület', 'X. kerület', 'XIV. kerület', 'IV. kerület', 'XIII. kerület', 'XV. kerület', 'XXI. kerület', 'XX. kerület', 'XII. kerület', 'XIX. kerület', 'I. kerület', 'IX. kerület', 'VII. kerület', 'VIII. kerület', 'XXIII. kerület', 'XXII. kerület', 'XVIII. kerület', 'XVI. kerület']",0.0,0.542,39.8,43,Very High,1.0,0.218,0.327,FCSM Fővárosi Csatornázási Művek
Fidesz - Magyar Polgári Szövetség,7,0.143,1,6.0,6.0,124.429,80.0,47.513,47.425,47.596,7,19.074,19.017,19.125,6,"['II. kerület', 'III. kerület', 'VIII. kerület', 'XX. kerület', 'XXI. kerület', 'XIII. kerület']",0.0,0.571,31.2,79,Low,1.0,0.171,0.108,Fidesz - Magyar Polgári Szövetség
FÖRI Fővárosi Önkormányzati Rendészet,133,0.624,83,61.747,29.0,20.265,20.0,47.496,47.419,47.576,133,19.074,19.001,19.178,13,"['VI. kerület', 'VII. kerület', 'I. kerület', 'II. kerület', 'XIV. kerület', 'X. kerület', 'IX. kerület', 'V. kerület', 'VIII. kerület', 'III. kerület', 'XIII. kerület', 'XXII. kerület', 'XI. kerület']",0.0,0.677,31.2,79,Medium,1.0,0.157,0.177,FÖRI Fővárosi Önkormányzati Rendészet
Fővárosi Katasztrófavédelmi Igazgatóság,6,0.833,5,69.8,35.0,18.2,2.0,47.517,47.415,47.592,6,19.066,18.959,19.191,5,"['XXI. kerület', 'VIII. kerület', 'III. kerület', 'XVI. kerület', 'II. kerület']",0.0,0.833,41.6,37,Low,1.0,0.177,0.232,Fővárosi Katasztrófavédelmi Igazgatóság
Fővárosi Vízművek,558,0.896,500,23.527,15.0,20.254,16.0,47.495,47.383,47.602,558,19.073,18.936,19.296,23,"['IX. kerület', 'XVIII. kerület', 'III. kerület', 'XI. kerület', 'IV. kerület', 'XV. kerület', 'XX. kerület', 'XII. kerület', 'XXI. kerület', 'XIV. kerület', 'X. kerület', 'II. kerület', 'XIX. kerület', 'XXII. kerület', 'VIII. kerület', 'VI. kerület', 'XIII. kerület', 'I. kerület', 'XVI. kerület', 'VII. kerület', 'XXIII. kerület', 'XVII. kerület', 'V. kerület']",0.0,0.516,51.3,15,Very High,1.0,0.219,0.36,Fővárosi Vízművek
Fővárosi Állat- és Növénykert,2,0.5,1,48.0,48.0,25.0,25.0,47.518,47.517,47.519,2,19.078,19.075,19.082,1,['XIV. kerület'],0.0,1.0,25.0,112,Low,1.0,0.002,0.007,Fővárosi Állat- és Növénykert
GOBUDA Mall,6,0.5,3,283.333,296.0,49.833,41.0,47.546,47.546,47.546,6,19.029,19.028,19.029,1,['III. kerület'],0.0,0.167,25.0,112,Low,1.0,0.0,0.001,GOBUDA Mall
HWR-Telecom,2,0.0,0,,,0.0,0.0,47.521,47.515,47.528,2,19.161,19.133,19.19,2,"['XVI. kerület', 'XIV. kerület']",0.0,1.0,,999,Low,1.0,0.013,0.057,HWR-Telecom
Hermina Residence,1,1.0,1,161.0,161.0,7.0,7.0,47.522,47.522,47.522,1,19.102,19.102,19.102,1,['XIV. kerület'],0.0,0.0,50.0,16,Low,1.0,0.0,0.0,Hermina Residence
Hesse Trade Kft.,4,0.75,3,74.333,85.0,51.5,60.0,47.45,47.423,47.499,4,19.116,19.047,19.219,4,"['XXI. kerület', 'XVIII. kerület', 'V. kerület', 'XIX. kerület']",0.0,0.5,37.5,49,Low,1.0,0.076,0.172,Hesse Trade Kft.
Horváth-Hálép Kft.,1,0.0,0,,,4.0,4.0,47.459,47.459,47.459,1,19.052,19.052,19.052,1,['XI. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Horváth-Hálép Kft.
Hotel Budapest,1,0.0,0,,,8.0,8.0,47.51,47.51,47.51,1,19.013,19.013,19.013,1,['II. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Hotel Budapest
I. kerület Budavár Önkormányzata,252,0.369,93,86.452,59.0,31.934,11.0,47.5,47.486,47.508,252,19.034,19.024,19.258,3,"['I. kerület', 'II. kerület', 'XVII. kerület']",0.0,0.643,18.4,146,High,1.0,0.022,0.234,I. kerület Budavár Önkormányzata
I. kerület Budavári Rendészet,52,0.365,19,48.263,45.0,34.681,40.0,47.499,47.489,47.508,52,19.035,19.024,19.046,1,['I. kerület'],0.0,0.538,18.2,147,Medium,1.0,0.019,0.022,I. kerület Budavári Rendészet
II. Kerületi Rendőrkapitányság,5,0.2,1,293.0,293.0,43.0,40.0,47.53,47.508,47.571,5,18.995,18.932,19.037,1,['II. kerület'],0.0,0.8,10.0,165,Low,1.0,0.063,0.105,II. Kerületi Rendőrkapitányság
II. kerület Közterület-felügyeleti Csoport,221,0.588,130,57.523,37.5,33.454,4.0,47.524,47.506,47.57,221,19.005,18.937,19.04,2,"['II. kerület', 'I. kerület']",0.0,0.805,29.4,92,High,1.0,0.064,0.103,II. kerület Közterület-felügyeleti Csoport
II. kerület Önkormányzata,925,0.456,422,72.686,41.5,30.82,3.0,47.525,47.432,47.574,925,19.003,18.929,19.141,3,"['II. kerület', 'I. kerület', 'XX. kerület']",0.001,0.659,22.8,126,Very High,1.0,0.142,0.212,II. kerület Önkormányzata
III. Kerületi Rendőrkapitányság,4,0.0,0,,,63.667,80.0,47.569,47.542,47.603,4,19.051,19.037,19.069,1,['III. kerület'],0.0,1.0,,999,Low,1.0,0.061,0.032,III. Kerületi Rendőrkapitányság
III. kerület Békásmegyeri Piac Kft.,16,0.562,9,25.0,5.0,7.333,2.0,47.598,47.598,47.599,16,19.057,19.056,19.058,1,['III. kerület'],0.0,0.25,33.1,73,Low,1.0,0.001,0.002,III. kerület Békásmegyeri Piac Kft.
III. kerület OVZRT Óbudai Vagyonkezelő NZrt.,76,0.105,8,41.0,29.5,30.049,18.0,47.575,47.53,47.608,76,19.049,19.003,19.07,1,['III. kerület'],0.0,0.566,5.2,179,Medium,1.0,0.078,0.067,III. kerület OVZRT Óbudai Vagyonkezelő NZrt.
III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,2081,0.404,841,89.305,51.0,31.62,20.0,47.573,47.498,47.61,2081,19.047,18.99,19.073,4,"['III. kerület', 'II. kerület', 'XIII. kerület', 'I. kerület']",0.0,0.461,20.2,137,Very High,1.0,0.112,0.083,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet
III. kerület Óbuda-Békásmegyer Városfejlesztő NKft.,62,0.177,11,58.364,35.0,15.21,9.0,47.574,47.534,47.607,62,19.047,19.008,19.066,2,"['III. kerület', 'IV. kerület']",0.0,0.355,8.8,169,Medium,1.0,0.073,0.058,III. kerület Óbuda-Békásmegyer Városfejlesztő NKft.
III. kerület Óbuda-Békásmegyer Önkormányzata,44,0.114,5,83.6,12.0,25.167,17.0,47.563,47.529,47.608,44,19.042,19.005,19.066,1,['III. kerület'],0.0,0.455,5.7,177,Low,1.0,0.079,0.061,III. kerület Óbuda-Békásmegyer Önkormányzata
III. kerület Óbudai Parkolási Nonprofit Kft.,16,0.312,5,121.6,99.0,5.25,1.5,47.547,47.529,47.602,16,19.041,19.029,19.06,1,['III. kerület'],0.0,0.562,20.6,135,Low,1.0,0.073,0.031,III. kerület Óbudai Parkolási Nonprofit Kft.
IKEA,5,0.2,1,38.0,38.0,33.6,3.0,47.468,47.41,47.505,5,19.148,19.138,19.163,2,"['XXIII. kerület', 'XIV. kerület']",0.0,0.6,10.0,165,Low,1.0,0.095,0.025,IKEA
IV. kerület Újpest Önkormányzata,443,0.535,237,78.847,34.0,10.923,4.0,47.568,47.545,47.611,443,19.098,19.072,19.12,2,"['IV. kerület', 'XIII. kerület']",0.002,0.673,26.8,105,High,1.0,0.066,0.048,IV. kerület Újpest Önkormányzata
IV. kerület Újpesti Önkormányzati Rendészet,176,0.71,125,87.072,72.0,52.678,40.0,47.566,47.535,47.598,176,19.098,19.04,19.121,3,"['IV. kerület', 'III. kerület', 'XIII. kerület']",0.0,0.841,35.5,57,Medium,1.0,0.063,0.081,IV. kerület Újpesti Önkormányzati Rendészet
IX. kerület - FESZOFE Nonprofit Kft.,119,0.689,82,50.171,39.5,26.27,7.0,47.475,47.444,47.489,119,19.081,19.06,19.123,1,['IX. kerület'],0.0,0.832,34.4,61,Medium,1.0,0.045,0.063,IX. kerület - FESZOFE Nonprofit Kft.
IX. kerület - FEV IX Zrt. Ferencvárosi Parkolási Igazgatóság,1,1.0,1,4.0,4.0,1.0,1.0,47.485,47.485,47.485,1,19.073,19.073,19.073,1,['VIII. kerület'],0.0,1.0,93.1,3,Low,1.0,0.0,0.0,IX. kerület - FEV IX Zrt. Ferencvárosi Parkolási Igazgatóság
IX. kerület Ferencváros Önkormányzata,353,0.402,142,116.437,63.5,24.965,10.0,47.475,47.444,47.489,353,19.081,19.058,19.125,3,"['IX. kerület', 'XX. kerület', 'X. kerület']",0.0,0.669,20.1,138,High,1.0,0.045,0.067,IX. kerület Ferencváros Önkormányzata
IX. kerület Ferencvárosi Közterület-felügyelet,111,0.856,95,70.053,43.0,14.183,11.0,47.472,47.445,47.488,111,19.088,19.059,19.125,2,"['IX. kerület', 'VIII. kerület']",0.0,0.622,42.8,34,Medium,1.0,0.043,0.066,IX. kerület Ferencvárosi Közterület-felügyelet
Infopark,2,0.5,1,7.0,7.0,42.5,42.5,47.471,47.47,47.472,2,19.058,19.057,19.059,1,['XI. kerület'],0.0,0.5,48.0,26,Low,1.0,0.002,0.002,Infopark
Invitech,90,0.722,65,58.015,21.0,18.236,6.0,47.502,47.417,47.562,90,19.058,18.998,19.178,15,"['XIV. kerület', 'I. kerület', 'VIII. kerület', 'XIII. kerület', 'IX. kerület', 'III. kerület', 'X. kerület', 'VII. kerület', 'XI. kerület', 'XII. kerület', 'II. kerület', 'V. kerület', 'XIX. kerület', 'VI. kerület', 'XXI. kerület']",0.0,0.6,36.1,53,Medium,1.0,0.145,0.18,Invitech
JCDecaux,394,0.863,340,54.553,30.0,44.973,31.0,47.5,47.409,47.604,394,19.076,18.949,19.261,23,"['III. kerület', 'XX. kerület', 'VIII. kerület', 'XIV. kerület', 'XI. kerület', 'X. kerület', 'IX. kerület', 'IV. kerület', 'XXIII. kerület', 'XIX. kerület', 'XII. kerület', 'I. kerület', 'V. kerület', 'XVII. kerület', 'XXI. kerület', 'II. kerület', 'XVIII. kerület', 'XXII. kerület', 'XIII. kerület', 'VII. kerület', 'VI. kerület', 'XVI. kerület', 'XV. kerület']",0.0,0.426,43.2,33,High,1.0,0.195,0.312,JCDecaux
KDVVIZIG Közép-Duna-völgyi Vízügyi Igazgatóság,26,0.115,3,53.0,32.0,31.913,23.0,47.497,47.409,47.608,26,19.06,19.04,19.101,8,"['XXII. kerület', 'III. kerület', 'XI. kerület', 'I. kerület', 'V. kerület', 'XIII. kerület', 'IV. kerület', 'XXI. kerület']",0.0,0.654,5.8,176,Low,1.0,0.199,0.061,KDVVIZIG Közép-Duna-völgyi Vízügyi Igazgatóság
KFC,2,0.5,1,65.0,65.0,22.0,22.0,47.55,47.55,47.551,2,19.043,19.043,19.043,1,['III. kerület'],0.0,0.0,25.0,112,Low,1.0,0.001,0.0,KFC
Komposztfórum,1,0.0,0,,,9.0,9.0,47.518,47.518,47.518,1,19.038,19.038,19.038,1,['II. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Komposztfórum
KÖKI Terminál,4,0.0,0,,,44.5,44.0,47.463,47.462,47.464,4,19.149,19.148,19.149,1,['XIX. kerület'],0.0,0.75,,999,Low,1.0,0.002,0.001,KÖKI Terminál
Kínai-Magyar Vasúti Nonprofit Zrt.,2,0.5,1,134.0,134.0,50.5,50.5,47.443,47.43,47.455,2,19.094,19.086,19.101,2,"['XX. kerület', 'IX. kerület']",0.0,1.0,25.0,112,Low,1.0,0.025,0.015,Kínai-Magyar Vasúti Nonprofit Zrt.
Közlekedési Múzeum,1,0.0,0,,,2.0,2.0,47.466,47.466,47.466,1,19.022,19.022,19.022,1,['XI. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Közlekedési Múzeum
Legenda Kft.,1,0.0,0,,,30.0,30.0,47.496,47.496,47.496,1,19.048,19.048,19.048,1,['V. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Legenda Kft.
Lidl,36,0.389,14,77.5,54.0,27.469,14.5,47.494,47.431,47.604,36,19.103,19.015,19.227,13,"['XX. kerület', 'XI. kerület', 'XVI. kerület', 'IV. kerület', 'IX. kerület', 'III. kerület', 'XXI. kerület', 'XIX. kerület', 'VI. kerület', 'XVII. kerület', 'XIV. kerület', 'X. kerület', 'XV. kerület']",0.0,0.611,19.4,140,Low,1.0,0.173,0.212,Lidl
Lime,36,0.806,29,36.414,10.0,7.625,1.0,47.487,47.439,47.588,36,19.058,18.969,19.158,14,"['X. kerület', 'XIX. kerület', 'VII. kerület', 'III. kerület', 'XX. kerület', 'XI. kerület', 'V. kerület', 'XIII. kerület', 'VI. kerület', 'XV. kerület', 'II. kerület', 'IX. kerület', 'VIII. kerület', 'XII. kerület']",0.0,0.583,40.3,42,Low,1.0,0.149,0.189,Lime
Lurdy ház,2,0.5,1,195.0,195.0,42.5,42.5,47.472,47.471,47.472,2,19.085,19.084,19.086,1,['IX. kerület'],0.0,0.5,25.0,112,Low,1.0,0.001,0.002,Lurdy ház
MAHART PassNave Személyhajózási Zrt.,6,0.0,0,,,25.833,30.5,47.505,47.48,47.538,6,19.05,19.04,19.065,4,"['II. kerület', 'IX. kerület', 'XIII. kerület', 'V. kerület']",0.0,0.667,,999,Low,1.0,0.058,0.025,MAHART PassNave Személyhajózási Zrt.
MAHIR Cityposter,6,0.833,5,13.2,4.0,18.2,4.0,47.484,47.444,47.541,6,19.051,19.017,19.099,4,"['XIV. kerület', 'XI. kerület', 'III. kerület', 'VIII. kerület']",0.0,0.667,58.4,12,Low,1.0,0.097,0.082,MAHIR Cityposter
MAZSIHISZ - Magyarországi Zsidó Hitközségek Szövetsége,2,0.0,0,,,3.0,3.0,47.491,47.491,47.492,2,19.089,19.089,19.09,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.001,0.001,MAZSIHISZ - Magyarországi Zsidó Hitközségek Szövetsége
MKKP Magyar Kétfarkú Kutya Párt,7,0.571,4,207.0,189.0,37.571,41.0,47.521,47.462,47.561,7,19.09,19.076,19.148,3,"['IV. kerület', 'XIV. kerület', 'XIX. kerület']",0.0,0.571,28.6,95,Low,1.0,0.099,0.072,MKKP Magyar Kétfarkú Kutya Párt
MNV Magyar Nemzeti Vagyonkezelő Zrt.,10,0.4,4,116.25,84.5,28.7,24.0,47.488,47.435,47.532,10,19.097,19.047,19.226,7,"['VI. kerület', 'XI. kerület', 'IX. kerület', 'V. kerület', 'XVI. kerület', 'VIII. kerület', 'XVII. kerület']",0.0,0.8,20.0,139,Low,1.0,0.097,0.179,MNV Magyar Nemzeti Vagyonkezelő Zrt.
MOHU Budapest Zrt.,1,1.0,1,4.0,4.0,2.0,2.0,47.564,47.564,47.564,1,18.951,18.951,18.951,1,['II. kerület'],0.0,1.0,90.3,4,Low,1.0,0.0,0.0,MOHU Budapest Zrt.
MOHU MOL Hulladékgazdálkodási Zrt.,6,0.833,5,10.8,11.0,6.667,2.0,47.504,47.475,47.564,6,19.037,18.951,19.085,5,"['V. kerület', 'XII. kerület', 'VIII. kerület', 'IX. kerület', 'II. kerület']",0.0,0.5,61.8,9,Low,1.0,0.089,0.134,MOHU MOL Hulladékgazdálkodási Zrt.
MOL Magyar Olaj- és Gázipari Nyrt.,7,0.286,2,22.5,22.5,22.857,17.0,47.515,47.469,47.561,7,19.071,19.025,19.135,7,"['VIII. kerület', 'X. kerület', 'I. kerület', 'III. kerület', 'XV. kerület', 'XIII. kerület', 'XI. kerület']",0.143,0.286,21.8,131,Low,1.0,0.092,0.11,MOL Magyar Olaj- és Gázipari Nyrt.
MOM Park,2,0.5,1,74.0,74.0,4.0,4.0,47.491,47.491,47.491,2,19.023,19.022,19.024,1,['XII. kerület'],0.0,0.0,33.6,66,Low,1.0,0.0,0.002,MOM Park
MVM Főgáz Földgázhálózati Kft.,111,0.847,94,63.372,38.0,31.296,23.5,47.499,47.404,47.604,111,19.072,18.939,19.228,20,"['III. kerület', 'V. kerület', 'I. kerület', 'XXI. kerület', 'XI. kerület', 'II. kerület', 'XIII. kerület', 'XII. kerület', 'IV. kerület', 'IX. kerület', 'VII. kerület', 'XX. kerület', 'XVIII. kerület', 'X. kerület', 'XIV. kerület', 'VIII. kerület', 'VI. kerület', 'XVI. kerület', 'XV. kerület', 'XVII. kerület']",0.0,0.559,42.4,35,Medium,1.0,0.2,0.289,MVM Főgáz Földgázhálózati Kft.
MVM Mobiliti,3,0.0,0,,,50.0,61.0,47.517,47.507,47.53,3,19.03,19.009,19.047,3,"['I. kerület', 'XIII. kerület', 'II. kerület']",0.0,0.0,,999,Low,1.0,0.023,0.038,MVM Mobiliti
MVM NET,4,0.5,2,36.5,36.5,16.75,16.0,47.479,47.474,47.483,4,19.053,19.045,19.07,2,"['XI. kerület', 'IX. kerület']",0.0,0.5,25.0,112,Low,1.0,0.009,0.025,MVM NET
MVM Next Energiakereskedelmi Zrt.,12,0.083,1,71.0,71.0,28.417,2.0,47.493,47.433,47.548,12,19.075,19.021,19.134,10,"['VIII. kerület', 'XII. kerület', 'XIV. kerület', 'V. kerület', 'XI. kerület', 'III. kerület', 'XX. kerület', 'VII. kerület', 'X. kerület', 'IX. kerület']",0.0,0.5,4.2,180,Low,1.0,0.115,0.113,MVM Next Energiakereskedelmi Zrt.
Magyar Közút,12,0.167,2,56.0,56.0,12.5,7.5,47.478,47.371,47.61,12,19.056,18.959,19.171,6,"['XVIII. kerület', 'XXII. kerület', 'III. kerület', 'XXIII. kerület', 'XXI. kerület', 'IV. kerület']",0.0,0.583,8.4,171,Low,1.0,0.239,0.212,Magyar Közút
Magyar Mezőgazdasági Múzeum és Könyvtár,1,0.0,0,,,81.0,81.0,47.515,47.515,47.515,1,19.084,19.084,19.084,1,['XIV. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Magyar Mezőgazdasági Múzeum és Könyvtár
Magyar Nemzeti Múzeum,1,0.0,0,,,2.0,2.0,47.492,47.492,47.492,1,19.062,19.062,19.062,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Magyar Nemzeti Múzeum
Magyar Posta,56,0.714,40,77.45,50.0,5.054,1.0,47.488,47.386,47.568,56,19.085,18.991,19.212,18,"['V. kerület', 'XI. kerület', 'XIII. kerület', 'IX. kerület', 'II. kerület', 'XII. kerület', 'XIV. kerület', 'XX. kerület', 'VI. kerület', 'XVI. kerület', 'III. kerület', 'XVIII. kerület', 'XIX. kerület', 'I. kerület', 'XXIII. kerület', 'VII. kerület', 'VIII. kerület', 'IV. kerület']",0.0,0.286,41.3,38,Medium,1.0,0.182,0.221,Magyar Posta
Magyar Telekom,1974,0.869,1715,33.999,22.0,10.133,2.0,47.494,47.379,47.603,1974,19.079,18.94,19.296,23,"['VIII. kerület', 'XIV. kerület', 'XVIII. kerület', 'XVII. kerület', 'VI. kerület', 'XI. kerület', 'XIX. kerület', 'V. kerület', 'III. kerület', 'II. kerület', 'VII. kerület', 'XIII. kerület', 'XVI. kerület', 'X. kerület', 'IX. kerület', 'XX. kerület', 'XV. kerület', 'XII. kerület', 'IV. kerület', 'XXII. kerület', 'I. kerület', 'XXI. kerület', 'XXIII. kerület']",0.0,0.722,43.4,32,Very High,1.0,0.224,0.356,Magyar Telekom
Magyar Testnevelési és Sporttudományi Egyetem,1,1.0,1,29.0,29.0,,,47.493,47.493,47.493,1,19.024,19.024,19.024,1,['XII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Magyar Testnevelési és Sporttudományi Egyetem
Mammut Bevásárló- és Szórakoztató Központ,2,0.5,1,8.0,8.0,40.0,40.0,47.509,47.509,47.509,2,19.027,19.026,19.027,1,['II. kerület'],0.0,1.0,47.0,28,Low,1.0,0.0,0.001,Mammut Bevásárló- és Szórakoztató Központ
Margitszigeti Atlétikai Centrum,1,0.0,0,,,6.0,6.0,47.518,47.518,47.518,1,19.042,19.042,19.042,1,['XIII. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Margitszigeti Atlétikai Centrum
Margitszigeti Szabadtéri Színház,1,0.0,0,,,1.0,1.0,47.531,47.531,47.531,1,19.05,19.05,19.05,1,['XIII. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Margitszigeti Szabadtéri Színház
McDonald's,8,0.625,5,123.8,120.0,13.5,1.5,47.485,47.41,47.55,8,19.104,19.021,19.155,6,"['X. kerület', 'XXII. kerület', 'III. kerület', 'XX. kerület', 'XV. kerület', 'XIV. kerület']",0.0,0.125,31.2,79,Low,1.0,0.14,0.134,McDonald's
Mediterrán Lakópark,2,0.0,0,,,3.0,3.0,47.431,47.431,47.431,2,19.094,19.094,19.094,1,['XX. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Mediterrán Lakópark
Metropol,1,0.0,0,,,42.0,42.0,47.511,47.511,47.511,1,19.101,19.101,19.101,1,['XIV. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Metropol
Mi Hazánk Mozgalom,1,0.0,0,,,40.0,40.0,47.445,47.445,47.445,1,19.119,19.119,19.119,1,['XX. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Mi Hazánk Mozgalom
Millenáris Park,18,0.5,9,21.111,5.0,11.176,5.0,47.511,47.509,47.511,18,19.026,19.024,19.029,1,['II. kerület'],0.0,0.722,33.9,65,Low,1.0,0.002,0.005,Millenáris Park
Motorosbolt365.hu üzlet - PRO MOTO SHOP Kft.,1,1.0,1,47.0,47.0,43.0,43.0,47.526,47.526,47.526,1,19.036,19.036,19.036,1,['II. kerület'],0.0,1.0,50.0,16,Low,1.0,0.0,0.0,Motorosbolt365.hu üzlet - PRO MOTO SHOP Kft.
MÁV Zrt.,378,0.286,108,118.602,70.0,17.205,9.0,47.495,47.391,47.582,378,19.091,18.952,19.296,21,"['XVIII. kerület', 'XV. kerület', 'II. kerület', 'XIV. kerület', 'X. kerület', 'IV. kerület', 'XXI. kerület', 'XI. kerület', 'XIX. kerület', 'I. kerület', 'III. kerület', 'XVII. kerület', 'XX. kerület', 'XIII. kerület', 'XXII. kerület', 'VIII. kerület', 'VI. kerület', 'IX. kerület', 'XXIII. kerület', 'XVI. kerület', 'XII. kerület']",0.0,0.614,14.3,158,High,1.0,0.191,0.344,MÁV Zrt.
MÁV-HÉV Zrt. (BKK),164,0.451,74,100.919,44.0,29.327,30.0,47.519,47.379,47.599,164,19.074,19.022,19.229,12,"['XXIII. kerület', 'XX. kerület', 'XVI. kerület', 'III. kerület', 'IX. kerület', 'XIV. kerület', 'II. kerület', 'I. kerület', 'X. kerület', 'XXI. kerület', 'XI. kerület', 'IV. kerület']",0.0,0.695,22.6,127,Medium,1.0,0.22,0.207,MÁV-HÉV Zrt. (BKK)
MÜPA - Művészetek Palotája,6,0.0,0,,,63.5,24.0,47.47,47.469,47.47,6,19.071,19.07,19.073,1,['IX. kerület'],0.0,0.667,,999,Low,1.0,0.001,0.003,MÜPA - Művészetek Palotája
Mömax,2,0.5,1,2.0,2.0,43.0,43.0,47.552,47.551,47.553,2,19.044,19.043,19.045,1,['III. kerület'],0.0,0.0,53.0,14,Low,1.0,0.002,0.002,Mömax
NAIH Nemzeti Adatvédelmi és Információszabadság Hatóság,7,0.429,3,30.333,14.0,27.857,20.0,47.492,47.443,47.601,7,19.107,18.992,19.25,5,"['XI. kerület', 'XII. kerület', 'III. kerület', 'XVII. kerület', 'X. kerület']",0.0,0.857,21.4,134,Low,1.0,0.158,0.258,NAIH Nemzeti Adatvédelmi és Információszabadság Hatóság
NKE Szolgáltató Kft.,9,0.444,4,123.75,57.0,7.778,4.0,47.481,47.481,47.483,9,19.087,19.084,19.09,2,"['VIII. kerület', 'IX. kerület']",0.0,0.778,22.2,128,Low,1.0,0.002,0.006,NKE Szolgáltató Kft.
NKH Nemzeti Közlekedési Hatóság - Műszaki Vizsgálóállomás,1,0.0,0,,,29.0,29.0,47.452,47.452,47.452,1,19.156,19.156,19.156,1,['XIX. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,NKH Nemzeti Közlekedési Hatóság - Műszaki Vizsgálóállomás
NOVOTEL Budapest,1,1.0,1,197.0,197.0,96.0,96.0,47.488,47.488,47.488,1,19.024,19.024,19.024,1,['XII. kerület'],0.0,0.0,50.0,16,Low,1.0,0.0,0.0,NOVOTEL Budapest
Nemzeti Földügyi Központ,2,0.0,0,,,40.5,40.5,47.478,47.39,47.566,2,19.076,18.989,19.162,2,"['XXIII. kerület', 'II. kerület']",0.0,0.5,,999,Low,1.0,0.176,0.173,Nemzeti Földügyi Központ
Nemzeti Sportközpontok,3,0.0,0,,,2.0,2.0,47.474,47.46,47.502,3,19.079,19.066,19.104,2,"['XIV. kerület', 'XXI. kerület']",0.0,0.667,,999,Low,1.0,0.042,0.038,Nemzeti Sportközpontok
Nemzeti Sportügynökség Nonprofit Zrt.,5,0.2,1,41.0,41.0,161.6,43.0,47.513,47.472,47.541,5,19.089,19.06,19.114,3,"['XIII. kerület', 'IX. kerület', 'XIV. kerület']",0.0,0.2,10.0,165,Low,1.0,0.069,0.054,Nemzeti Sportügynökség Nonprofit Zrt.
Nemzeti Színház,1,0.0,0,,,29.0,29.0,47.472,47.472,47.472,1,19.07,19.07,19.07,1,['IX. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Nemzeti Színház
None,11,0.455,5,2.8,0.0,,,47.497,47.399,47.563,11,19.08,18.957,19.144,8,"['XX. kerület', 'III. kerület', 'II. kerület', 'XIV. kerület', 'XXI. kerület', 'XV. kerület', 'VIII. kerület', 'XXII. kerület']",0.0,0.455,,999,Low,1.0,0.164,0.187,None
Normafa Park Fenntartó és Üzemeltető,11,0.818,9,43.889,13.0,15.636,7.0,47.508,47.5,47.524,11,18.966,18.958,18.97,1,['XII. kerület'],0.0,0.545,40.9,40,Low,1.0,0.024,0.012,Normafa Park Fenntartó és Üzemeltető
NÖRI Nemzeti Örökség Intézete,1,0.0,0,,,21.0,21.0,47.494,47.494,47.494,1,19.086,19.086,19.086,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,NÖRI Nemzeti Örökség Intézete
OBI Barkácsáruház,3,0.0,0,,,14.333,20.0,47.501,47.467,47.567,3,19.083,19.076,19.098,2,"['IX. kerület', 'IV. kerület']",0.0,0.667,,999,Low,1.0,0.1,0.022,OBI Barkácsáruház
OIF Országos Idegenrendészeti Főigazgatóság,1,1.0,1,10.0,10.0,,,47.459,47.459,47.459,1,19.053,19.053,19.053,1,['XI. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,OIF Országos Idegenrendészeti Főigazgatóság
