institution,TotalIssuesAssigned,ResolutionRate,ResolvedCount,AvgDaysToResolution,MedianDaysToResolution,AvgDaysToFirstResponse,MedianDaysToFirstResponse,ServiceCenterLat,MinLat,MaxLat,GPSRecordCount,ServiceCenterLng,MinLng,MaxLng,DistrictsServedCount,DistrictsServedList,ImageResponseRate,AnonymousReportingRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,ServiceAreaCoverage,ServiceAreaSpanLat,ServiceAreaSpanLng,InstitutionName
TraffiCOM,27,0.889,24,85.125,59.0,12.0,4.0,47.5,47.475,47.524,27,19.057,18.999,19.178,11,"['VI. kerület', 'XI. kerület', 'V. kerület', 'X. kerület', 'XII. kerület', 'VIII. kerület', 'XIII. kerület', 'XIV. kerület', 'IX. kerület', 'I. kerület', 'II. kerület']",0.0,0.63,44.4,31,Low,1.0,0.049,0.179,TraffiCOM
Táv-Com,2,0.0,0,,,102.0,102.0,47.523,47.514,47.532,2,19.057,19.037,19.077,2,"['III. kerület', 'VI. kerület']",0.0,0.0,,999,Low,1.0,0.018,0.04,Táv-Com
V. kerület Belváros-Lipótváros Közterület-felügyelet,32,0.344,11,99.455,71.0,36.094,40.0,47.5,47.489,47.513,32,19.052,19.046,19.061,1,['V. kerület'],0.0,0.625,17.2,148,Low,1.0,0.024,0.015,V. kerület Belváros-Lipótváros Közterület-felügyelet
V. kerület Belváros-Lipótváros Városüzemeltető,163,0.613,100,47.78,18.0,15.494,8.0,47.5,47.487,47.513,163,19.052,19.045,19.061,3,"['V. kerület', 'IV. kerület', 'XIII. kerület']",0.0,0.564,30.6,85,Medium,1.0,0.026,0.016,V. kerület Belváros-Lipótváros Városüzemeltető
VALYO - Város és Folyó Egyesület,1,0.0,0,,,37.0,37.0,47.484,47.484,47.484,1,19.054,19.054,19.054,1,['XI. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,VALYO - Város és Folyó Egyesület
VI. kerület Rendészeti Osztály,25,0.64,16,23.312,6.0,25.5,27.5,47.508,47.499,47.517,25,19.064,19.056,19.072,2,"['VI. kerület', 'XIII. kerület']",0.0,0.4,38.7,45,Low,1.0,0.018,0.016,VI. kerület Rendészeti Osztály
VI. kerület Terézváros Önkormányzata,146,0.493,72,96.361,68.5,48.517,40.0,47.506,47.498,47.518,146,19.063,19.04,19.079,3,"['VI. kerület', 'I. kerület', 'XX. kerület']",0.0,0.658,24.6,124,Medium,1.0,0.02,0.039,VI. kerület Terézváros Önkormányzata
VII. Kerületi Rendőrkapitányság,1,0.0,0,,,19.0,19.0,47.497,47.497,47.497,1,19.057,19.057,19.057,1,['VII. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,VII. Kerületi Rendőrkapitányság
VII. kerület - EVIN Erzsébetvárosi Ingatlangazdákodási Nonprofit Zrt.,6,0.0,0,,,36.167,41.5,47.503,47.496,47.508,6,19.07,19.062,19.079,1,['VII. kerület'],0.0,0.5,,999,Low,1.0,0.012,0.017,VII. kerület - EVIN Erzsébetvárosi Ingatlangazdákodási Nonprofit Zrt.
VII. kerület Erzsébetváros Rendészeti Igazgatósága,78,0.705,55,62.636,9.0,34.486,7.0,47.501,47.496,47.509,78,19.07,19.057,19.087,2,"['VII. kerület', 'VI. kerület']",0.0,0.679,35.2,59,Medium,1.0,0.013,0.03,VII. kerület Erzsébetváros Rendészeti Igazgatósága
VII. kerület Erzsébetváros Önkormányzata,230,0.63,145,81.276,50.0,45.449,40.0,47.501,47.496,47.51,230,19.069,19.056,19.089,3,"['VII. kerület', 'VI. kerület', 'XIV. kerület']",0.0,0.587,31.5,77,High,1.0,0.014,0.033,VII. kerület Erzsébetváros Önkormányzata
VIII. Kerületi Rendőrkapitányság,1,0.0,0,,,18.0,18.0,47.486,47.486,47.486,1,19.071,19.071,19.071,1,['VIII. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,VIII. Kerületi Rendőrkapitányság
VIII. kerület JGK Józsefvárosi Gazdálkodási Központ,321,0.53,170,117.965,50.0,47.632,7.0,47.49,47.478,47.499,321,19.08,19.062,19.109,2,"['VIII. kerület', 'VII. kerület']",0.0,0.427,26.5,107,High,1.0,0.021,0.047,VIII. kerület JGK Józsefvárosi Gazdálkodási Központ
VIII. kerület Józsefvárosi Közterület-felügyelet,136,0.728,99,61.525,33.0,19.544,9.0,47.49,47.476,47.501,136,19.083,19.061,19.109,2,"['VIII. kerület', 'VII. kerület']",0.0,0.522,36.4,51,Medium,1.0,0.025,0.048,VIII. kerület Józsefvárosi Közterület-felügyelet
VIII. kerület Józsefvárosi Önkormányzat,18,0.222,4,76.75,40.0,63.611,41.5,47.49,47.483,47.5,18,19.083,19.069,19.102,1,['VIII. kerület'],0.0,0.556,11.1,164,Low,1.0,0.017,0.033,VIII. kerület Józsefvárosi Önkormányzat
Volánbusz (MÁV-csoport),24,0.542,13,62.846,29.0,18.125,12.0,47.491,47.432,47.597,24,19.064,18.964,19.137,8,"['IX. kerület', 'XI. kerület', 'XX. kerület', 'XIII. kerület', 'III. kerület', 'XIV. kerület', 'X. kerület', 'II. kerület']",0.0,0.5,27.1,103,Low,1.0,0.165,0.173,Volánbusz (MÁV-csoport)
Váci Greens,1,0.0,0,,,10.0,10.0,47.546,47.546,47.546,1,19.073,19.073,19.073,1,['XIII. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Váci Greens
Várkapitányság,37,0.432,16,35.688,19.0,19.622,15.0,47.498,47.493,47.5,37,19.039,19.036,19.043,1,['I. kerület'],0.0,0.892,21.6,133,Low,1.0,0.007,0.007,Várkapitányság
Városliget Zrt.,156,0.436,68,72.441,25.5,21.135,6.0,47.513,47.507,47.519,156,19.086,19.077,19.092,2,"['XIV. kerület', 'XIII. kerület']",0.0,0.66,21.8,131,Medium,1.0,0.012,0.015,Városliget Zrt.
Westend,3,0.333,1,90.0,90.0,82.333,9.0,47.513,47.512,47.515,3,19.059,19.057,19.062,1,['VI. kerület'],0.0,0.0,16.7,149,Low,1.0,0.003,0.005,Westend
X. kerület Kőbánya Önkormányzata,615,0.607,373,64.236,32.0,31.136,17.0,47.48,47.462,47.505,615,19.147,19.101,19.218,4,"['X. kerület', 'XVII. kerület', 'XIV. kerület', 'XVI. kerület']",0.0,0.46,30.4,86,Very High,1.0,0.043,0.117,X. kerület Kőbánya Önkormányzata
