InstitutionName,TotalIssuesAssigned,ResolutionRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,AvgDaysToResolution,ServiceCenterLatitude,ServiceCenterLongitude,DistrictsServed,ServiceAreaCoverage,AvgUrgencyScore
KDVVIZIG Közép-Duna-völgyi Vízügyi Igazgatóság,6,0.0,0.7,130,Low,,47.502,19.074,3,1.0,3.333
KFC,2,0.5,25.0,66,Low,65.0,47.55,19.043,1,1.0,0.0
Lidl,7,0.0,0.0,132,Low,,47.521,19.114,5,1.0,0.0
Lime,14,0.714,53.9,17,Low,12.1,47.483,19.061,9,1.0,1.429
MAHART PassNave Személyhajózási Zrt.,2,0.0,1.0,128,Low,,47.488,19.057,2,1.0,5.0
MAHIR Cityposter,2,1.0,77.0,1,Low,3.0,47.444,19.038,1,1.0,0.0
MKKP Magyar Kétfarkú Kutya Párt,2,0.0,0.0,132,Low,,47.511,19.119,2,1.0,0.0
MNV Magyar Nemzeti Vagyonkezelő Zrt.,3,0.667,33.4,52,Low,45.5,47.49,19.109,2,1.0,0.0
MOHU Budapest Zrt.,1,1.0,76.0,2,Low,4.0,47.564,18.951,1,1.0,0.0
MOHU MOL Hulladékgazdálkodási Zrt.,5,1.0,69.2,9,Low,10.8,47.503,19.035,4,1.0,0.0
MOL Magyar Olaj- és Gázipari Nyrt.,2,0.0,0.0,132,Low,,47.512,19.063,2,1.0,0.0
MOM Park,1,0.0,0.0,132,Low,,47.491,19.022,1,1.0,0.0
MVM Főgáz Földgázhálózati Kft.,34,0.529,31.2,58,Medium,26.056,47.501,19.086,16,1.0,3.824
MVM NET,1,1.0,65.0,12,Low,17.0,47.48,19.047,1,1.0,10.0
MVM Next Energiakereskedelmi Zrt.,2,0.0,0.0,132,Low,,47.483,19.116,2,1.0,0.0
Magyar KĂśzĂşt,1,1.0,50.0,22,Low,,47.605,19.097,1,1.0,0.0
Magyar Nemzeti Múzeum,1,0.0,0.0,132,Low,,47.492,19.062,1,1.0,0.0
Magyar Posta,9,0.222,37.6,43,Low,3.5,47.496,19.118,6,1.0,0.0
Magyar Telekom,260,0.55,42.1,38,High,15.859,47.498,19.076,24,1.0,2.346
Magyar Testnevelési és Sporttudományi Egyetem,1,1.0,51.0,21,Low,29.0,47.493,19.024,1,1.0,0.0
Mammut Bevásárló- és Szórakoztató Központ,1,0.0,0.0,132,Low,,47.509,19.026,1,1.0,0.0
Margitszigeti Szabadtéri Színház,1,0.0,0.0,132,Low,,47.531,19.05,1,1.0,0.0
McDonald's,2,0.0,0.0,132,Low,,47.533,19.129,2,1.0,0.0
Metropol,1,0.0,0.0,132,Low,,47.511,19.101,1,1.0,0.0
Mi Hazánk Mozgalom,1,0.0,0.0,132,Low,,47.445,19.119,1,1.0,0.0
Millenáris Park,7,0.286,37.8,42,Low,6.5,47.511,19.026,1,1.0,0.0
MÁV Zrt.,78,0.192,10.0,108,Medium,35.467,47.5,19.09,15,1.0,2.179
MÁV-HÉV Zrt. (BKK),32,0.188,10.8,105,Medium,29.0,47.521,19.077,7,1.0,1.875
MÜPA - Művészetek Palotája,1,0.0,0.0,132,Low,,47.47,19.071,1,1.0,0.0
Mömax,2,0.5,53.0,18,Low,2.0,47.552,19.044,1,1.0,0.0
NAIH Nemzeti Adatvédelmi és Információszabadság Hatóság,1,0.0,0.0,132,Low,,47.483,19.15,1,1.0,0.0
NKE Szolgáltató Kft.,1,0.0,0.0,132,Low,,47.481,19.088,1,1.0,0.0
Nemzeti Sportközpontok,2,0.0,0.0,132,Low,,47.46,19.067,1,1.0,0.0
Normafa Park FenntartÃģ ÃĐs ÃzemeltetÅ,2,1.0,50.0,22,Low,,47.515,18.965,1,1.0,0.0
Normafa Park Fenntartó és Üzemeltető,3,1.0,73.7,5,Low,7.667,47.511,18.963,1,1.0,6.667
OBI Barkácsáruház,2,0.0,0.0,132,Low,,47.517,19.087,2,1.0,0.0
OIF Országos Idegenrendészeti Főigazgatóság,1,1.0,70.0,8,Low,10.0,47.459,19.053,1,1.0,0.0
OMV Hungária Kft.,1,0.0,0.0,132,Low,,47.55,19.138,1,1.0,0.0
OMW,2,0.0,0.0,132,Low,,47.477,19.138,2,1.0,0.0
OTP Bank,1,0.0,0.0,132,Low,,47.447,19.036,1,1.0,0.0
One MagyarorszÃĄg Zrt.,1,0.0,2.0,120,Low,,47.482,19.163,1,1.0,10.0
One Magyarország Zrt.,27,0.185,27.0,64,Low,12.6,47.514,19.068,12,1.0,1.852
Országgyűlés Hivatala,2,1.0,71.0,6,Low,9.0,47.507,19.049,1,1.0,0.0
Országos Onkológiai Intézet,1,0.0,0.0,132,Low,,47.501,19.019,1,1.0,0.0
"PVKH Körny.véd., Term.véd., Hull.gazd. és Bányafelügy. Főosztály",1,0.0,0.0,132,Low,,47.547,18.994,1,1.0,0.0
Packeta,1,0.0,0.0,132,Low,,47.453,19.157,1,1.0,0.0
Park Plazza,1,0.0,2.0,120,Low,,47.504,19.152,1,1.0,10.0
Parkol-6 Terézvárosi Parkolás,1,1.0,75.0,4,Low,5.0,47.517,19.071,1,1.0,0.0
Penny Market,4,0.0,0.0,132,Low,,47.454,19.129,2,1.0,0.0
Peugeot Pásztor,1,0.0,0.0,132,Low,,47.485,19.225,1,1.0,0.0
Pilisi Parkerdő,28,0.786,55.2,16,Low,14.318,47.513,19.024,5,1.0,1.071
Property Market,3,0.0,1.3,127,Low,,47.463,19.059,1,1.0,6.667
Príma,3,0.667,33.4,52,Low,30.0,47.514,19.077,3,1.0,0.0
Publimont,1,0.0,4.0,116,Low,,47.531,19.043,1,1.0,20.0
Punctum Kft.,8,0.375,34.7,48,Low,14.333,47.525,19.073,2,1.0,1.25
PÃģlus Center,1,0.0,0.0,132,Low,,47.551,19.139,1,1.0,0.0
Pólus Center,1,1.0,71.0,6,Low,9.0,47.551,19.139,1,1.0,0.0
SOTE Semmelweis Orvostudományi Egyetem,1,0.0,2.0,120,Low,,47.483,19.08,1,1.0,10.0
SPAR Magyarország,9,0.111,30.6,60,Low,5.0,47.492,19.12,4,1.0,0.0
Segítő Angyalok Állatmentés Kft.,3,0.0,0.0,132,Low,,47.541,19.079,2,1.0,0.0
Shell Hungary Zrt.,2,0.0,0.0,132,Low,,47.451,19.165,2,1.0,0.0
Stop Shop,1,0.0,0.0,132,Low,,47.562,19.106,1,1.0,0.0
TIER-Dott,5,0.4,20.8,79,Low,34.0,47.495,19.079,4,1.0,4.0
Tesco,13,0.0,0.0,132,Low,,47.496,19.135,5,1.0,0.0
TraffiCOM,2,0.0,0.0,132,Low,,47.483,19.09,2,1.0,0.0
V. kerület Belváros-Lipótváros Közterület-felügyelet,2,0.0,0.0,132,Low,,47.495,19.054,1,1.0,0.0
