InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
Fővárosi Vízművek,47.494581,19.08004,47.40526,47.599964,18.956174,19.296282,801.27,23,"XI. kerület, X. kerület, XIV. kerület, XX. kerület, III. kerület",146,Utilities,0,1,0
HWR-Telecom,47.528066,19.132592,47.528066,47.528066,19.132592,19.132592,0.0,1,XIV. kerület,1,Other Municipal,0,0,0
Hesse Trade Kft.,47.435844,19.099819,47.422555,47.449132,19.06878,19.130858,19.96,2,"XIX. kerület, Csepel",2,Other Municipal,0,0,1
I. kerület Budavár Önkormányzata,47.499029,19.037103,47.486446,47.50788,19.024107,19.258183,60.71,3,"I. kerület, II. kerület, XVII. kerület",56,Local Government,1,0,0
I. kerület Budavári Rendészet,47.498814,19.033779,47.48903,47.507511,19.024019,19.045071,4.71,1,I. kerület,16,Law Enforcement,1,0,0
II. Kerületi Rendőrkapitányság,47.510954,19.037217,47.510954,47.510954,19.037217,19.037217,0.0,1,II. kerület,1,Law Enforcement,1,0,0
II. kerÃžlet KÃķzterÃžlet-felÃžgyeleti Csoport,47.56392,18.955602,47.56392,47.56392,18.955602,18.955602,0.0,1,Unknown,1,Other Municipal,0,0,0
II. kerÃžlet ÃnkormÃĄnyzata,47.52645,19.000208,47.5224,47.530813,18.978437,19.025412,4.78,1,Unknown,3,Other Municipal,0,0,0
II. kerület Közterület-felügyeleti Csoport,47.525619,18.998117,47.506399,47.559218,18.940136,19.039482,63.49,2,"II. kerület, I. kerület",47,Local Government,1,0,0
II. kerület Önkormányzata,47.526851,18.999826,47.43203,47.572736,18.929218,19.140672,360.01,2,"II. kerület, XX. kerület",245,Local Government,1,0,0
II. kerĂĽlet Ă–nkormĂˇnyzata,47.529024,19.002957,47.529024,47.529024,19.002957,19.002957,0.0,1,Unknown,1,Other Municipal,0,0,0
III. Kerületi Rendőrkapitányság,47.572615,19.048385,47.542375,47.602854,19.03834,19.058431,14.7,1,III. kerület,2,Law Enforcement,1,0,0
III. kerület Békásmegyeri Piac Kft.,47.598246,19.056959,47.598062,47.598543,19.056185,19.057253,0.01,1,III. kerület,5,Local Government,1,0,1
III. kerület OVZRT Óbudai Vagyonkezelő NZrt.,47.575287,19.049085,47.530422,47.607761,19.017095,19.069642,49.17,1,III. kerület,56,Local Government,1,0,1
III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,47.57444,19.04881,47.520664,47.608248,18.989501,19.072194,87.64,2,"III. kerület, II. kerület",441,Local Government,1,0,0
III. kerület Óbuda-Békásmegyer Városfejlesztő NKft.,47.585217,19.054027,47.534501,47.604102,19.042942,19.064527,18.18,1,III. kerület,5,Local Government,1,0,1
III. kerület Óbuda-Békásmegyer Önkormányzata,47.545815,19.040324,47.533052,47.565972,19.0265,19.057712,12.43,1,III. kerület,4,Local Government,1,0,0
III. kerület Óbudai Parkolási Nonprofit Kft.,47.601653,19.06002,47.601653,47.601653,19.06002,19.06002,0.0,1,III. kerület,1,Parks & Environment,1,0,1
